names,scores,logfoldchanges,pvals,pvals_adj
PPP2R1B,-2.363194,-0.4859186,0.018118180505231264,0.046570126920350646
DPH3,-2.3634248,-0.25289762,0.01810690017296461,0.04655636689317087
KAT6A,-2.3634248,-0.30910897,0.01810690017296461,0.04655636689317087
COPB2,-2.364348,-0.2670737,0.01806184032621392,0.04647093212001649
FOXG1,-2.3671174,-1.1562936,0.01792724952003135,0.046139759167708475
MAPK6,-2.3709252,-0.2927496,0.017743622112583138,0.04569709891617723
CDCA3,-2.3721945,-0.39105514,0.0176827803285264,0.04555534256496388
IPP,-2.3751945,-0.8406735,0.01753969880161501,0.04521638795099636
RAB30,-2.3755407,-0.6490644,0.017523254884120324,0.04518882702388875
CIRH1A,-2.376233,-0.30262992,0.01749040759094915,0.04511893321080643
UTP3,-2.3770409,-0.3907264,0.017452153987238987,0.04503504256562492
NUP93,-2.3798103,-0.32940474,0.017321555128322653,0.04471272281727718
RPL17,-2.380964,-0.27383852,0.01726739240097886,0.0445875632181752
KEL,-2.3810794,-0.5899657,0.01726198430693356,0.0445875632181752
EMD,-2.3813102,-0.30047372,0.01725117257557377,0.0445749870332671
LGR4,-2.3814256,-0.95328695,0.017245768937587,0.0445749870332671
PGBD1,-2.3816564,-0.6263014,0.0172349661153193,0.044562428846554675
ANAPC4,-2.3825796,-0.54044104,0.017191814159729066,0.04448013841392352
IPO11,-2.3839643,-0.28805542,0.017127263931463445,0.04434233954569722
ZNF771,-2.3840797,-0.51332706,0.017121894356212964,0.04434233954569722
RAD17,-2.3860414,-0.29776397,0.01703083727966306,0.04412177665954925
TRMT11,-2.3861568,-0.35555783,0.017025494238612788,0.04412177665954925
RFT1,-2.3868492,-0.37026522,0.016993466870521595,0.0440540205504776
CHRNA5,-2.3875413,-1.0566486,0.016961492384455632,0.04398564631228095
BUB1B,-2.3878875,-0.6574928,0.0169455249496748,0.04395875114917291
DUS3L,-2.3888106,-0.37119356,0.016903009600759085,0.04387744230468031
FANCM,-2.3891568,-0.43040892,0.01688709049822177,0.043850610202820495
GALK1,-2.3893876,-0.38279304,0.016876485075172795,0.0438375629184796
PFKM,-2.3897338,-0.6599133,0.01686058790191419,0.04381075685396492
FABP5,-2.39008,-0.27523035,0.016844703874257957,0.04378396721783463
